id,change_percentage,index_name,period,price,sector_id,trade_date
2161,-0.79361,AllSharePriceIndex,D,497.8008,1,967572000000
2162,-0.23025274,AllSharePriceIndex,M,496.6546,1,967658400000
2163,0.042927217,AllSharePriceIndex,W,496.8678,1,967744800000
2164,-0.13732024,AllSharePriceIndex,D,496.1855,1,968004000000
2165,0.3711112,AllSharePriceIndex,D,498.0269,1,968090400000
2166,0.21743806,AllSharePriceIndex,D,499.1098,1,968176800000
2167,0.46116105,AllSharePriceIndex,D,501.4115,1,968263200000
2168,-0.13304442,AllSharePriceIndex,W,500.7444,1,968349600000
2169,-0.052661598,AllSharePriceIndex,D,500.4807,1,968608800000
2170,-0.5472139,AllSharePriceIndex,D,497.742,1,968695200000
2171,-0.13073038,AllSharePriceIndex,D,497.0913,1,968868000000
2172,-0.062181737,AllSharePriceIndex,W,496.7822,1,968954400000
2173,-0.33314398,AllSharePriceIndex,D,495.1272,1,969213600000
2174,0.19215265,AllSharePriceIndex,D,496.0786,1,969300000000
2175,0.33482596,AllSharePriceIndex,D,497.7396,1,969386400000
2176,1.857618,AllSharePriceIndex,D,506.9857,1,969472800000
2177,0.6800783,AllSharePriceIndex,W,510.4336,1,969559200000
2178,-0.27137712,AllSharePriceIndex,D,509.0484,1,969818400000
2179,-0.05264725,AllSharePriceIndex,D,508.7804,1,969904800000
2180,0.22227664,AllSharePriceIndex,D,509.9113,1,969991200000
2181,1.0711666,AllSharePriceIndex,D,515.3733,1,970077600000
2182,1.5369054,AllSharePriceIndex,Q,523.2941,1,970164000000
2183,0.49543843,AllSharePriceIndex,D,525.8867,1,970423200000
2184,-0.8372145,AllSharePriceIndex,D,521.4839,1,970509600000
2185,-0.17283371,AllSharePriceIndex,D,520.5826,1,970596000000
2186,0.092511736,AllSharePriceIndex,D,521.0642,1,970682400000
2187,-0.22488591,AllSharePriceIndex,W,519.8924,1,970768800000
2188,1.061989,AllSharePriceIndex,D,525.4136,1,971028000000
2189,-0.4650241,AllSharePriceIndex,D,522.9703,1,971114400000
2190,-2.155897,AllSharePriceIndex,D,511.6956,1,971200800000
2191,-0.5267585,AllSharePriceIndex,W,509.0002,1,971373600000
2192,-0.38420418,AllSharePriceIndex,D,507.0446,1,971632800000
2193,0.047964223,AllSharePriceIndex,D,507.2878,1,971719200000
2194,0.71606296,AllSharePriceIndex,D,510.9203,1,971805600000
2195,0.09790177,AllSharePriceIndex,D,511.4205,1,971892000000
2196,0.041296743,AllSharePriceIndex,W,511.6317,1,971978400000
2197,-0.37139997,AllSharePriceIndex,D,509.7315,1,972237600000
2198,-0.19784926,AllSharePriceIndex,D,508.723,1,972324000000
2199,-0.7500742,AllSharePriceIndex,D,504.9072,1,972410400000
2200,-0.39276525,AllSharePriceIndex,D,502.9241,1,972496800000
2201,-0.7078404,AllSharePriceIndex,W,499.3642,1,972583200000
