,symbol,year,voting_div_per_share,close,dividend_yield
349,VONE,2021,3.0,34.8,8.620689655172415
608,VONE,2023,1.0,30.3,3.3003300330033
347,VONE,2024,3.0,37.1,8.086253369272237
759,VPEL,2019,0.3,,
576,VPEL,2020,1.1,6.3,17.460317460317462
587,VPEL,2021,1.0,7.9,12.658227848101264
748,VPEL,2022,0.35,9.2,3.804347826086957
709,VPEL,2023,0.5,6.3,7.936507936507936
391,VPEL,2024,2.5,7.2,34.72222222222222
213,WATA,2020,6.0,25.8,23.25581395348837
145,WATA,2021,9.0,56.4,15.957446808510639
95,WATA,2022,14.0,169.75,8.24742268041237
113,WATA,2023,12.0,73.2,16.39344262295082
91,WATA,2024,15.0,78.4,19.132653061224488
534,WATA,2025,1.4,120.25,1.164241164241164
541,WIND,2021,1.3,18.0,7.222222222222223
620,WIND,2024,1.0,19.2,5.208333333333334
644,WIND,2025,1.0,24.9,4.016064257028113
