id,agm,announcement_category,anu_category_id,approved_date,company,created_date,date_of_announcement,final_dividend,first_and_final,group_key,is_new,non_voting_div_per_share,payment,record_date,remarks,sec_id,symbol,type_first_int,type_fourth_int,type_other,type_second_int,type_third_int,voting_div_per_share,xc,xd
9766,30-06-2021,CASH DIVIDEND,5,1621939213356,CENTRAL FINANCE COMPANY PLC,25-05-2021 04:10:13 PM,25-05-2021,false,true,CASH DIVIDEND,true,,09-07-2021,,The board of directors of Central Finance Company PLC has recommended a final dividend of Rupees Three and Cents Fifty (Rs. 3.50) consisting of Rupees Two and Cents Thirty (Rs. 2.30) per share by way of a cash dividend and Rupees One and Cents Twenty (Rs.,366,CFIN,false,false,false,false,false,2.3,,01-07-2021
9776,25-06-2021,CASH DIVIDEND,5,1621951657685,SUNSHINE HOLDINGS PLC,25-05-2021 07:37:37 PM,25-05-2021,true,false,CASH DIVIDEND,true,,15-07-2021,,Final Dividend for the year ended 31st March 2021,510,SUN,false,false,false,false,false,0.5,,28-06-2021
9792,,CASH DIVIDEND,5,1622197469482,LANKA TILES PLC,28-05-2021 03:54:29 PM,28-05-2021,false,false,CASH DIVIDEND,true,,28-06-2021,,3rd Interim for the year ended 31st March 2021,677,TILE,false,false,false,false,true,2.2,,08-06-2021
9793,,CASH DIVIDEND,5,1622197565527,LANKA WALLTILES PLC,28-05-2021 03:56:05 PM,28-05-2021,false,false,CASH DIVIDEND,true,,29-06-2021,,3rd Interim for the year ended 31st March 2021,678,LWL,false,false,false,false,true,3.1,,08-06-2021
9794,,CASH DIVIDEND,5,1622200974944,SWISSTEK (CEYLON) PLC,28-05-2021 04:52:54 PM,28-05-2021,false,false,CASH DIVIDEND,true,,25-06-2021,,3rd Interim for the year ended 31st March 2021,679,PARQ,false,false,false,false,true,1.05,,08-06-2021
9795,,CASH DIVIDEND,5,1622203203680,SAMSON INTERNATIONAL PLC,28-05-2021 05:30:03 PM,28-05-2021,true,false,CASH DIVIDEND,true,,17-06-2021,,Final dividend for the year ended 31st March 2021,684,SIL,false,false,false,false,false,2,,08-06-2021
9802,,CASH DIVIDEND,5,1622434122710,DIESEL & MOTOR ENGINEERING PLC,31-05-2021 09:38:42 AM,30-05-2021,false,true,CASH DIVIDEND,true,,29-06-2021,,"DIESEL & MOTOR ENGINEERING PLC – FIRST AND FINAL DIVIDEND FOR THE FINANCIAL YEAR ENDED 31ST MARCH, 2021 ",694,DIMO,false,false,false,false,false,12.5,,09-06-2021
9804,19-07-2021,CASH DIVIDEND,5,1622438729149,CENTRAL INDUSTRIES PLC,31-05-2021 10:55:29 AM,31-05-2021,false,true,CASH DIVIDEND,true,,11-08-2021,,,665,CIND,false,false,false,false,false,2,,20-07-2021
9819,,CASH DIVIDEND,5,1622458990106,ROYAL CERAMICS LANKA PLC,31-05-2021 04:33:10 PM,31-05-2021,true,false,CASH DIVIDEND,true,,30-06-2021,,Final Dividend for the year ended 31st March 2021,683,RCL,false,false,false,false,false,1.2,,09-06-2021
9823,28-06-2021,CASH DIVIDEND,5,1622460858505,PEOPLE'S INSURANCE PLC,31-05-2021 05:04:18 PM,31-05-2021,true,false,CASH DIVIDEND,true,,19-07-2021,,Final Dividend - Dates,1465,PINS,false,false,false,false,false,3,,29-06-2021
9828,27-07-2021,CASH DIVIDEND,5,1622519124519,UNITED MOTORS LANKA PLC,01-06-2021 09:15:24 AM,31-05-2021,true,false,CASH DIVIDEND,true,,16-08-2021,,Final Dividend of LKR 1.00 per share for the financial year 2020/21,697,UML,false,false,false,false,false,1,,28-07-2021
9840,,CASH DIVIDEND,5,1622537260142,VALLIBEL ONE PLC,01-06-2021 02:17:40 PM,01-06-2021,true,false,CASH DIVIDEND,true,,30-06-2021,,,1074,VONE,false,false,false,false,false,1,,10-06-2021
9869,30-06-2021,CASH DIVIDEND,5,1622614349552,L B FINANCE PLC,02-06-2021 11:42:29 AM,02-06-2021,true,false,CASH DIVIDEND,true,,22-07-2021,,,379,LFIN,false,false,false,false,false,4,,01-07-2021
9906,,CASH DIVIDEND,5,1622690761913,VALLIBEL FINANCE PLC,03-06-2021 08:56:01 AM,02-06-2021,false,false,CASH DIVIDEND,true,,02-07-2021,,Interim Dividend for the year ended 31st March 2021,949,VFIN,true,false,false,false,false,6,,14-06-2021
9924,29-06-2021,CASH DIVIDEND,5,1622718333320,CARGILLS (CEYLON) PLC,03-06-2021 04:35:33 PM,03-06-2021,true,false,CASH DIVIDEND,true,,19-07-2021,,Final Dividend for the Financial Year 2020/21,457,CARG,false,false,false,false,false,4.1,,30-06-2021
9928,,CASH DIVIDEND,5,1622720236812,WINDFORCE LIMITED,03-06-2021 05:07:16 PM,03-06-2021,false,false,CASH DIVIDEND,true,,05-07-2021,,INTERIM DIVIDEND FOR THE YEAR 2021/2022 ,2173,WIND,true,false,false,false,false,0.75,,14-06-2021
9940,13-09-2021,CASH DIVIDEND,5,1622804033935,CONVENIENCE  FOODS (LANKA )PLC,04-06-2021 04:23:53 PM,04-06-2021,true,false,CASH DIVIDEND,true,,23-09-2021,,Final dividend for the year ended 31st March 2021,488,SOY,false,false,false,false,false,10,,14-09-2021
9989,30-06-2021,CASH DIVIDEND,5,1623065236165,LANKA CERAMIC PLC,07-06-2021 04:57:16 PM,07-06-2021,true,false,CASH DIVIDEND,true,,20-07-2021,,Further announcement to that made on 21st May 2021.,676,CERA,false,false,false,false,false,0.9,,01-07-2021
10034,01-07-2021,CASH DIVIDEND,5,1623234821943,C T HOLDINGS PLC,09-06-2021 04:03:41 PM,09-06-2021,true,false,CASH DIVIDEND,true,,22-07-2021,,Final Dividend subject to shareholder approval at AGM,503,CTHR,false,false,false,false,false,2.9,,02-07-2021
10037,02-07-2021,CASH DIVIDEND,5,1623239240158,ALLIANCE FINANCE COMPANY PLC,09-06-2021 05:17:20 PM,09-06-2021,false,false,CASH DIVIDEND,true,,23-07-2021,,"FIRST AND FINAL DIVIDEND OF RS.5.50 PER SHARE FOR THE FINANCIAL YEAR ENDED 31ST MARCH 2021
",341,ALLI,false,false,false,false,false,,,05-07-2021
10041,05-07-2021,CASH DIVIDEND,5,1623298130203,JANASHAKTHI INSURANCE PLC,10-06-2021 09:38:50 AM,10-06-2021,true,false,CASH DIVIDEND,true,,28-07-2021,,,841,JINS,false,false,false,false,false,2,,06-07-2021
10049,,CASH DIVIDEND,5,1623323814991,SINGER FINANCE (LANKA) PLC,10-06-2021 04:46:55 PM,10-06-2021,false,false,CASH DIVIDEND,true,,02-07-2021,,,1041,SFIN,true,false,false,false,false,0.8,,21-06-2021
